Which of the following best describes you?,Points - Which of the following best describes you?,Feedback - Which of the following best describes you?,"Did you attend in person or online?
","Points - Did you attend in person or online?
","Feedback - Did you attend in person or online?
","What was your overall level of satisfaction with the symposium?
","Points - What was your overall level of satisfaction with the symposium?
","Feedback - What was your overall level of satisfaction with the symposium?
","Points - Please state whether you agree or disagree with the following statements
","Feedback - Please state whether you agree or disagree with the following statements
",The ticket prices were appropriate,Points - The ticket prices were appropriate,Feedback - The ticket prices were appropriate,The symposium was well organised,Points - The symposium was well organised,Feedback - The symposium was well organised,The content of the talks was sufficiently varied,Points - The content of the talks was sufficiently varied,Feedback - The content of the talks was sufficiently varied,The standard of the talks was high,Points - The standard of the talks was high,Feedback - The standard of the talks was high,Early career researchers were well-represented,Points - Early career researchers were well-represented,Feedback - Early career researchers were well-represented,There was an appropriate number of tech bite talks from sponsors,Points - There was an appropriate number of tech bite talks from sponsors,Feedback - There was an appropriate number of tech bite talks from sponsors,I had enough opportunities to ask questions,Points - I had enough opportunities to ask questions,Feedback - I had enough opportunities to ask questions,I had enough opportunities to network,Points - I had enough opportunities to network,Feedback - I had enough opportunities to network,The symposium started and finished at appropriate times on each day,Points - The symposium started and finished at appropriate times on each day,Feedback - The symposium started and finished at appropriate times on each day,The sessions were an appropriate length,Points - The sessions were an appropriate length,Feedback - The sessions were an appropriate length,The discussion panels were an appropriate length,Points - The discussion panels were an appropriate length,Feedback - The discussion panels were an appropriate length,The poster session was an appropriate length,Points - The poster session was an appropriate length,Feedback - The poster session was an appropriate length,The coffee and lunch breaks were long enough,Points - The coffee and lunch breaks were long enough,Feedback - The coffee and lunch breaks were long enough,Enough food and drink was provided,Points - Enough food and drink was provided,Feedback - Enough food and drink was provided,The Francis Crick Institute was an appropriate venue for the symposium,Points - The Francis Crick Institute was an appropriate venue for the symposium,Feedback - The Francis Crick Institute was an appropriate venue for the symposium,I enjoyed the evening social,Points - I enjoyed the evening social,Feedback - I enjoyed the evening social,The organisers made enough effort to include virtual attendees in proceedings,Points - The organisers made enough effort to include virtual attendees in proceedings,Feedback - The organisers made enough effort to include virtual attendees in proceedings,"Is there anything else you would like to add?
","Points - Is there anything else you would like to add?
","Feedback - Is there anything else you would like to add?
"
"PhD Student
",,,In Person,,,6,,,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Strongly Agree,,,Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Disagree,,,Agree,,,Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,,,
"PhD Student
",,,In Person,,,7,,,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Not Applicable,,,Strongly Agree,,,,,
"PhD Student
",,,Online,,,6,,,,,Strongly Agree,,,Agree,,,Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Neither Agree nor Disagree,,,Not Applicable,,,Not Applicable,,,Agree,,,Agree,,,Agree,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Agree,,,"I liked that each session had a good mix of long and short talks.

I understand that you need some way of ensuring that talks don't go overtime, but please, PLEASE, do not put the egg timer right next to the microphone. Every time it went off, it was incredibly loud and jarring in the online feed.",,
"Post Doc
",,,In Person,,,7,,,,,Agree,,,Agree,,,Disagree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Disagree,,,Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Not Applicable,,,Not Applicable,,,,,
"Undergraduate Student
",,,In Person,,,7,,,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,,,
"Post Doc
",,,In Person,,,5,,,,,Agree,,,Strongly Agree,,,Agree,,,Agree,,,Strongly Agree,,,Disagree,,,Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Disagree,,,Neither Agree nor Disagree,,,Agree,,,Neither Agree nor Disagree,,,"Catering options for people with special requirements were not great, both at the Crick and at the evening event. At the Crick - the gluten free options were poor on the first day, and on the second day, maybe I wasn't directed to the correct member of staff, but buffets when you have an allergy are a bad idea. At the evening event I have no idea what food was OK - it was dark and fairly loud. Possibly there was someone I should have spoken to, but I have no idea who.",,
"PhD Student
",,,Online,,,7,,,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Not Applicable,,,Strongly Agree,,,Not Applicable,,,Strongly Agree,,,,,
"Post Doc
",,,In Person,,,6,,,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Not Applicable,,,Not Applicable,,,"I don't think is reasonable for a good work-life balance to have posters and the social event very late. Posters should have two sessions or, definetely, not after work hours and the social event should have earlier. I was exhausted after the poster session, and missed the social event.",,
Other,,,In Person,,,7,,,,,Agree,,,Agree,,,Agree,,,Agree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Disagree,,,Agree,,,Agree,,,Agree,,,Strongly Agree,,,Agree,,,Agree,,,Not Applicable,,,Agree,,,"Thanks for all your effort organising! I felt that the lunch breaks were a bit too long and would have preferred an earlier finish on the first day, otherwise all went very well.",,
Staff Scientist / Facility Staff,,,In Person,,,6,,,,,Strongly Agree,,,Strongly Agree,,,Disagree,,,Neither Agree nor Disagree,,,Agree,,,Strongly Agree,,,Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,,,
