Which of the following best describes you?,Points - Which of the following best describes you?,Feedback - Which of the following best describes you?,"Which of the following do you have significant formal training in or experience with?
","Points - Which of the following do you have significant formal training in or experience with?
","Feedback - Which of the following do you have significant formal training in or experience with?
","Did you attend in person or online?
","Points - Did you attend in person or online?
","Feedback - Did you attend in person or online?
","What was your overall level of satisfaction with the symposium?
","Points - What was your overall level of satisfaction with the symposium?
","Feedback - What was your overall level of satisfaction with the symposium?
","Points - Please state whether you agree or disagree with the following statements
","Feedback - Please state whether you agree or disagree with the following statements
",The ticket prices were too high,Points - The ticket prices were too high,Feedback - The ticket prices were too high,The symposium was well organised,Points - The symposium was well organised,Feedback - The symposium was well organised,The content of the talks was sufficiently varied,Points - The content of the talks was sufficiently varied,Feedback - The content of the talks was sufficiently varied,The standard of the talks was high,Points - The standard of the talks was high,Feedback - The standard of the talks was high,Early career researchers were well-represented,Points - Early career researchers were well-represented,Feedback - Early career researchers were well-represented,I had enough opportunities to ask questions,Points - I had enough opportunities to ask questions,Feedback - I had enough opportunities to ask questions,I had enough opportunities to network,Points - I had enough opportunities to network,Feedback - I had enough opportunities to network,Enough food and drink was provided,Points - Enough food and drink was provided,Feedback - Enough food and drink was provided,The Francis Crick Institute was an appropriate venue for the symposium,Points - The Francis Crick Institute was an appropriate venue for the symposium,Feedback - The Francis Crick Institute was an appropriate venue for the symposium,I enjoyed the evening social,Points - I enjoyed the evening social,Feedback - I enjoyed the evening social,The organisers made enough effort to include virtual attendees in proceedings,Points - The organisers made enough effort to include virtual attendees in proceedings,Feedback - The organisers made enough effort to include virtual attendees in proceedings,There were too many tech bite talks from sponsors,Points - There were too many tech bite talks from sponsors,Feedback - There were too many tech bite talks from sponsors,"Points - Please complete the following statements:
","Feedback - Please complete the following statements:
",The average duration of the sessions was...,Points - The average duration of the sessions was...,Feedback - The average duration of the sessions was...,The duration of the discussion panels was...,Points - The duration of the discussion panels was...,Feedback - The duration of the discussion panels was...,The duration of the poster sessions was...,Points - The duration of the poster sessions was...,Feedback - The duration of the poster sessions was...,The duration of the coffee and lunch breaks was...,Points - The duration of the coffee and lunch breaks was...,Feedback - The duration of the coffee and lunch breaks was...,"Is there anything else you would like to add?
","Points - Is there anything else you would like to add?
","Feedback - Is there anything else you would like to add?
"
Postdoctoral fellow,,,Chemistry/Biochemistry;Cell/Molecular Biology;Medicine;Image Analysis/Processing;Software Engineering;Computer Vision;Machine Learning;,,,In Person,,,6,,,,,Neither Agree nor Disagree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Disagree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Neither Agree nor Disagree,,,,,About Right,,,About Right,,,Too Short,,,About Right,,,For the social it would have been essential to have a proper dinner. Coming straight from the conference with only snacks provided made me leave the social earlier than I otherwise would have in the search of a proper meal. ,,
Facility director/manager,,,Cell/Molecular Biology;Image Analysis/Processing;Developmental Biology;,,,In Person,,,5,,,,,Neither Agree nor Disagree,,,Agree,,,Neither Agree nor Disagree,,,Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Not Applicable,,,Not Applicable,,,Strongly Agree,,,,,About Right,,,About Right,,,About Right,,,About Right,,,,,
Postdoctoral fellow,,,Chemistry/Biochemistry;Cell/Molecular Biology;Image Analysis/Processing;,,,In Person,,,6,,,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Not Applicable,,,Not Applicable,,,Strongly Disagree,,,,,About Right,,,Too Long,,,About Right,,,About Right,,,,,
None of the above,,,Image Analysis/Processing;Cell/Molecular Biology;,,,In Person,,,7,,,,,Disagree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Neither Agree nor Disagree,,,Agree,,,Strongly Agree,,,Disagree,,,Strongly Agree,,,Not Applicable,,,Not Applicable,,,Strongly Disagree,,,,,About Right,,,About Right,,,About Right,,,About Right,,,"Long lunch breaks with poster sessions were a great idea. 
Great talk variety and mix of biology/computer science. It was great to invite e.g. CL who is a biologist and brought his perspectives to the table. 
The food for lunch break was not great - especially the first day there was no choice, very little portions, no food during other breaks except for biscuits. Some more variety would be nice.",,
Facility staff,,,Physics/Biophysics;,,,In Person,,,7,,,,,Strongly Disagree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Agree,,,Not Applicable,,,Disagree,,,,,About Right,,,About Right,,,About Right,,,About Right,,,,,
None of the above,,,Developmental Biology;Cell/Molecular Biology;Image Analysis/Processing;,,,In Person,,,6,,,,,Neither Agree nor Disagree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Agree,,,Neither Agree nor Disagree,,,Neither Agree nor Disagree,,,Disagree,,,,,About Right,,,About Right,,,About Right,,,About Right,,,,,
Postdoctoral fellow,,,Cell/Molecular Biology;Chemistry/Biochemistry;Image Analysis/Processing;Software Engineering;Computer Vision;Machine Learning;,,,Online,,,7,,,,,Disagree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Agree,,,Agree,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Strongly Agree,,,Neither Agree nor Disagree,,,,,About Right,,,About Right,,,Not Applicable,,,Not Applicable,,,,,
Facility staff,,,Developmental Biology;Cell/Molecular Biology;Image Analysis/Processing;,,,In Person,,,6,,,,,Disagree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Neither Agree nor Disagree,,,Agree,,,Disagree,,,,,About Right,,,About Right,,,About Right,,,About Right,,,,,
PhD student,,,Developmental Biology;Cell/Molecular Biology;Image Analysis/Processing;,,,In Person,,,5,,,,,Disagree,,,Agree,,,Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Disagree,,,Strongly Agree,,,Not Applicable,,,Agree,,,Disagree,,,,,About Right,,,About Right,,,Too Long,,,About Right,,,,,
Facility staff,,,Cell/Molecular Biology;Physics/Biophysics;Software Engineering;Image Analysis/Processing;,,,In Person,,,5,,,,,Neither Agree nor Disagree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Disagree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Neither Agree nor Disagree,,,,,About Right,,,Too Long,,,Too Short,,,About Right,,,Do not like vegetarian food. The pieces of salmon were tiny ))),,
