Which of the following best describes you?,Points - Which of the following best describes you?,Feedback - Which of the following best describes you?,"Which of the following do you have significant formal training in or experience with?
","Points - Which of the following do you have significant formal training in or experience with?
","Feedback - Which of the following do you have significant formal training in or experience with?
","Did you attend in person or online?
","Points - Did you attend in person or online?
","Feedback - Did you attend in person or online?
","What was your overall level of satisfaction with the symposium?
","Points - What was your overall level of satisfaction with the symposium?
","Feedback - What was your overall level of satisfaction with the symposium?
","Points - Please state whether you agree or disagree with the following statements
","Feedback - Please state whether you agree or disagree with the following statements
",The ticket prices were too high,Points - The ticket prices were too high,Feedback - The ticket prices were too high,The symposium was well organised,Points - The symposium was well organised,Feedback - The symposium was well organised,The content of the talks was sufficiently varied,Points - The content of the talks was sufficiently varied,Feedback - The content of the talks was sufficiently varied,The standard of the talks was high,Points - The standard of the talks was high,Feedback - The standard of the talks was high,Early career researchers were well-represented,Points - Early career researchers were well-represented,Feedback - Early career researchers were well-represented,I had enough opportunities to ask questions,Points - I had enough opportunities to ask questions,Feedback - I had enough opportunities to ask questions,I had enough opportunities to network,Points - I had enough opportunities to network,Feedback - I had enough opportunities to network,Enough food and drink was provided,Points - Enough food and drink was provided,Feedback - Enough food and drink was provided,The venue was appropriate for the event,Points - The venue was appropriate for the event,Feedback - The venue was appropriate for the event,I enjoyed the evening social,Points - I enjoyed the evening social,Feedback - I enjoyed the evening social,The organisers made enough effort to include virtual attendees in proceedings,Points - The organisers made enough effort to include virtual attendees in proceedings,Feedback - The organisers made enough effort to include virtual attendees in proceedings,There were too many tech bite talks from sponsors,Points - There were too many tech bite talks from sponsors,Feedback - There were too many tech bite talks from sponsors,"Points - Please complete the following statements:
","Feedback - Please complete the following statements:
",The average duration of the sessions was...,Points - The average duration of the sessions was...,Feedback - The average duration of the sessions was...,The duration of the discussion panels was...,Points - The duration of the discussion panels was...,Feedback - The duration of the discussion panels was...,The duration of the poster sessions was...,Points - The duration of the poster sessions was...,Feedback - The duration of the poster sessions was...,The duration of the coffee and lunch breaks was...,Points - The duration of the coffee and lunch breaks was...,Feedback - The duration of the coffee and lunch breaks was...,"Is there anything else you would like to add?
","Points - Is there anything else you would like to add?
","Feedback - Is there anything else you would like to add?
"
PhD student,,,Cell/Molecular Biology;Developmental Biology;,,,In Person,,,7,,,,,Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Agree,,,Agree,,,Strongly Agree,,,Disagree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Agree,,,,,About Right,,,About Right,,,About Right,,,About Right,,,"Thanks to the organisers, it was a great event! (only complaint was the small dinner)",,
Research scientist/associate/staff,,,Physics/Biophysics;Cell/Molecular Biology;Statistics/Biostatistics;,,,Online,,,7,,,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Neither Agree nor Disagree,,,Neither Agree nor Disagree,,,Agree,,,Neither Agree nor Disagree,,,Neither Agree nor Disagree,,,Neither Agree nor Disagree,,,,,About Right,,,Far Too Long,,,Far Too Short,,,Not Applicable,,,Hope to meet up the next time.,,
PhD student,,,Machine Learning;Computer Vision;Computer Science;Image Analysis/Processing;,,,In Person,,,6,,,,,Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Not Applicable,,,Neither Agree nor Disagree,,,Agree,,,Neither Agree nor Disagree,,,Disagree,,,Agree,,,Not Applicable,,,Disagree,,,,,About Right,,,About Right,,,About Right,,,Too Long,,,"Compared to the poster space used at the Crick in 2024, the poster space at the Wellcome Collection was very cramped. Whenever the person next to me was explaining their poster to somebody, they blocked view of my poster and vice-versa.
In general, I think it is a good idea to have exhibitors in the same space as posters, but this definitely requires a bigger room.",,
Image/data analyst,,,Cell/Molecular Biology;Developmental Biology;Image Analysis/Processing;,,,In Person,,,7,,,,,Strongly Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Strongly Disagree,,,,,About Right,,,About Right,,,Far Too Short,,,About Right,,,,,
Image/data analyst,,,Physics/Biophysics;Image Analysis/Processing;Computer Science;Software Engineering;Machine Learning;Computer Vision;,,,In Person,,,7,,,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Not Applicable,,,Strongly Disagree,,,,,About Right,,,About Right,,,About Right,,,About Right,,,"As always, I had a great time at CBIAS and look forward to CBIAS 2026!",,
Facility staff,,,Cell/Molecular Biology;Developmental Biology;Image Analysis/Processing;Machine Learning;,,,In Person,,,7,,,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Not Applicable,,,Not Applicable,,,Disagree,,,,,About Right,,,About Right,,,About Right,,,About Right,,,"I enjoyed a lot and, even though i didn't go to the social for personal reasons, there was plenty of opportunity for netwroking and asking questions. The poster room was tiny and a bit  uncomfortable, but that's what you have available",,
Facility staff,,,Chemistry/Biochemistry;Cell/Molecular Biology;Developmental Biology;Statistics/Biostatistics;Image Analysis/Processing;,,,In Person,,,7,,,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Not Applicable,,,Not Applicable,,,Neither Agree nor Disagree,,,,,About Right,,,About Right,,,About Right,,,About Right,,,,,
Image/data analyst,,,Cell/Molecular Biology;,,,In Person,,,7,,,,,Not Applicable,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Disagree,,,,,About Right,,,About Right,,,Too Short,,,About Right,,,,,
Facility staff,,,Physics/Biophysics;,,,In Person,,,7,,,,,Neither Agree nor Disagree,,,Strongly Agree,,,Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Not Applicable,,,Neither Agree nor Disagree,,,,,About Right,,,Too Short,,,Too Short,,,About Right,,,"As a suggestion, there could be two poster sessions. One for odd-number posters and one for even numbers. The poster session was too crowded and difficult to navigate the various posters.",,
Postdoctoral fellow,,,Cell/Molecular Biology;Developmental Biology;Image Analysis/Processing;Software Engineering;Machine Learning;,,,In Person,,,6,,,,,Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Not Applicable,,,Neither Agree nor Disagree,,,,,About Right,,,Not Applicable,,,About Right,,,About Right,,,,,
Facility staff,,,Cell/Molecular Biology;Image Analysis/Processing;,,,Online,,,7,,,,,Strongly Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Not Applicable,,,Agree,,,Disagree,,,,,About Right,,,About Right,,,Not Applicable,,,Not Applicable,,,,,
None of the above,,,Chemistry/Biochemistry;Cell/Molecular Biology;Image Analysis/Processing;,,,In Person,,,6,,,,,Not Applicable,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Neither Agree nor Disagree,,,Agree,,,Agree,,,Disagree,,,Disagree,,,Disagree,,,,,About Right,,,About Right,,,Too Short,,,About Right,,,The level of noise and the lighting at the social event were far from optimal.,,
Image/data analyst,,,Physics/Biophysics;Cell/Molecular Biology;Image Analysis/Processing;Computer Vision;Machine Learning;,,,In Person,,,6,,,,,Neither Agree nor Disagree,,,Strongly Agree,,,Strongly Agree,,,Strongly Agree,,,Agree,,,Agree,,,Strongly Agree,,,Strongly Disagree,,,Strongly Agree,,,Disagree,,,Not Applicable,,,Disagree,,,,,About Right,,,About Right,,,About Right,,,About Right,,,The evening social didn't have enough food,,
