,,,
,,Day 2 - 25th November 2025,
,,,
,,All times are GMT,
,,,
,,,
,,,
,,,
9:25,"Stefania Marcotti
",Francis Crick Institute,Welcome
,,,
Session 4,Physical and Mathematical Modelling,Chair: Natalie Holroyd ,
9:30,Ewa Paluch,University of Cambridge,Morphospace analysis to understand the mechanisms of cellular shape transitions
10:00,Julia Sero,"University of Bath, UK",EDITS: Event Detection In Time and Space - Machine learning-enabled identification of unique cell division and death events in unlabelled brightfield microscopy time series
10:15,Anna Foix-Romero,"European Bioinformatics Institute, EMBL",Data-driven shape quantification for 2D microscopy images
10:30,Brandy Freitas,SyGlass,"Visualization, Annotation, and Communication of Very Large Image Volumes in Virtual Reality"
10:35,Natasha Carmell,Indica,AI-Powered Quantitative Image Analysis and Enterprise Image Management with HALO Platforms
,,,
10:40,Coffee Break,,
,,,
Session 5,Research Integrity & Reproducibility,Chair: Marie Held,
11:10,Helena Jambor,TU Dresden,"Graph it, grasp it - Data visualization for life sciences"
11:40,Teun A.P.M. Huijben,Chan Zuckerberg Biohub San Francisco,inTRACKtive: a web-based tool for interactive cell tracking visualization
11:55,Ilaria Testa,KTH Royal Institute of Technology,Caught in a moment: dynamic of proteins at the nanoscale
,,,
12:25,Lunch & Exhibition,,
,,,
Session 6,Software Sustainability,Chair: Olatz Niembro,
13:55,Kimberly Meechan ,"Advanced Research Computing Centre, UCL",The HEFTIE Project: tools and training for getting started with OME-Zarr
14:10,Jean-Yves Tinevez,Institut Pasteur,Automated optimization of bacteria tracking pipelines in with TrackMate 8
14:40,Samantha Ahern,Society of Research Software Engineering,All the acronyms but what do they mean for me?
,,,
Panel Discussion 2,,Chair: Virginie Uhlmann,
14:50,"Andy French
Amir Patel
Candice Roufosse","University of Nottingham
University College London
Imperial College London",Interdisciplinary collaboration in bioimage analysis
,,,
15:40,Dave Barry & Stefania Marcotti,Francis Crick Institute,Concluding Remarks
,,,
16:00,End Symposium,,
